Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0417792	node2	0	0	LastDelay	0.0417792	41779.2	1	2
0.0417792	node2	0	0	FullDelay	0.0417792	41779.2	1	2
0.141779	node2	0	1	LastDelay	0.0417792	41779.2	1	2
0.141779	node2	0	1	FullDelay	0.0417792	41779.2	1	2
0.241779	node2	0	2	LastDelay	0.0417792	41779.2	1	2
0.241779	node2	0	2	FullDelay	0.0417792	41779.2	1	2
0.341779	node2	0	3	LastDelay	0.0417792	41779.2	1	2
0.341779	node2	0	3	FullDelay	0.0417792	41779.2	1	2
0.441779	node2	0	4	LastDelay	0.0417792	41779.2	1	2
0.441779	node2	0	4	FullDelay	0.0417792	41779.2	1	2
0.541779	node2	0	5	LastDelay	0.0417792	41779.2	1	2
0.541779	node2	0	5	FullDelay	0.0417792	41779.2	1	2
0.641779	node2	0	6	LastDelay	0.0417792	41779.2	1	2
0.641779	node2	0	6	FullDelay	0.0417792	41779.2	1	2
0.741779	node2	0	7	LastDelay	0.0417792	41779.2	1	2
0.741779	node2	0	7	FullDelay	0.0417792	41779.2	1	2
0.841779	node2	0	8	LastDelay	0.0417792	41779.2	1	2
0.841779	node2	0	8	FullDelay	0.0417792	41779.2	1	2
0.941779	node2	0	9	LastDelay	0.0417792	41779.2	1	2
0.941779	node2	0	9	FullDelay	0.0417792	41779.2	1	2
1.04178	node2	0	10	LastDelay	0.0417792	41779.2	1	2
1.04178	node2	0	10	FullDelay	0.0417792	41779.2	1	2
1.14178	node2	0	11	LastDelay	0.0417792	41779.2	1	2
1.14178	node2	0	11	FullDelay	0.0417792	41779.2	1	2
1.24178	node2	0	12	LastDelay	0.0417792	41779.2	1	2
1.24178	node2	0	12	FullDelay	0.0417792	41779.2	1	2
1.36267	node2	0	13	LastDelay	0.0626688	62668.8	1	3
1.36267	node2	0	13	FullDelay	0.0626688	62668.8	1	3
1.46267	node2	0	14	LastDelay	0.0626688	62668.8	1	3
1.46267	node2	0	14	FullDelay	0.0626688	62668.8	1	3
1.54178	node2	0	15	LastDelay	0.0417792	41779.2	1	2
1.54178	node2	0	15	FullDelay	0.0417792	41779.2	1	2
1.64178	node2	0	16	LastDelay	0.0417792	41779.2	1	2
1.64178	node2	0	16	FullDelay	0.0417792	41779.2	1	2
1.74178	node2	0	17	LastDelay	0.0417792	41779.2	1	2
1.74178	node2	0	17	FullDelay	0.0417792	41779.2	1	2
1.84178	node2	0	18	LastDelay	0.0417792	41779.2	1	2
1.84178	node2	0	18	FullDelay	0.0417792	41779.2	1	2
1.96267	node2	0	19	LastDelay	0.0626688	62668.8	1	3
1.96267	node2	0	19	FullDelay	0.0626688	62668.8	1	3
2.06267	node2	0	20	LastDelay	0.0626688	62668.8	1	3
2.06267	node2	0	20	FullDelay	0.0626688	62668.8	1	3
2.14178	node2	0	21	LastDelay	0.0417792	41779.2	1	2
2.14178	node2	0	21	FullDelay	0.0417792	41779.2	1	2
2.24178	node2	0	22	LastDelay	0.0417792	41779.2	1	2
2.24178	node2	0	22	FullDelay	0.0417792	41779.2	1	2
2.34178	node2	0	23	LastDelay	0.0417792	41779.2	1	2
2.34178	node2	0	23	FullDelay	0.0417792	41779.2	1	2
2.44178	node2	0	24	LastDelay	0.0417792	41779.2	1	2
2.44178	node2	0	24	FullDelay	0.0417792	41779.2	1	2
2.56267	node2	0	25	LastDelay	0.0626688	62668.8	1	3
2.56267	node2	0	25	FullDelay	0.0626688	62668.8	1	3
2.66267	node2	0	26	LastDelay	0.0626688	62668.8	1	3
2.66267	node2	0	26	FullDelay	0.0626688	62668.8	1	3
2.74178	node2	0	27	LastDelay	0.0417792	41779.2	1	2
2.74178	node2	0	27	FullDelay	0.0417792	41779.2	1	2
2.84178	node2	0	28	LastDelay	0.0417792	41779.2	1	2
2.84178	node2	0	28	FullDelay	0.0417792	41779.2	1	2
2.94178	node2	0	29	LastDelay	0.0417792	41779.2	1	2
2.94178	node2	0	29	FullDelay	0.0417792	41779.2	1	2
3.04178	node2	0	30	LastDelay	0.0417792	41779.2	1	2
3.04178	node2	0	30	FullDelay	0.0417792	41779.2	1	2
3.16267	node2	0	31	LastDelay	0.0626688	62668.8	1	3
3.16267	node2	0	31	FullDelay	0.0626688	62668.8	1	3
3.26267	node2	0	32	LastDelay	0.0626688	62668.8	1	3
3.26267	node2	0	32	FullDelay	0.0626688	62668.8	1	3
3.34178	node2	0	33	LastDelay	0.0417792	41779.2	1	2
3.34178	node2	0	33	FullDelay	0.0417792	41779.2	1	2
3.44178	node2	0	34	LastDelay	0.0417792	41779.2	1	2
3.44178	node2	0	34	FullDelay	0.0417792	41779.2	1	2
3.54178	node2	0	35	LastDelay	0.0417792	41779.2	1	2
3.54178	node2	0	35	FullDelay	0.0417792	41779.2	1	2
3.64178	node2	0	36	LastDelay	0.0417792	41779.2	1	2
3.64178	node2	0	36	FullDelay	0.0417792	41779.2	1	2
3.76267	node2	0	37	LastDelay	0.0626688	62668.8	1	3
